iter	Passed	Remaining
0	158	158030
1	159	79667
2	162	53922
3	164	40858
4	165	33025
5	168	27924
6	170	24157
7	171	21293
8	172	19040
9	174	17311
10	176	15838
11	177	14612
12	178	13575
13	179	12653
14	180	11872
15	181	11169
16	182	10558
17	183	10003
18	184	9503
19	184	9054
20	185	8643
21	186	8284
22	189	8068
23	190	7755
24	191	7459
25	191	7187
26	192	6934
27	192	6699
28	193	6487
29	194	6290
30	195	6105
31	195	5927
32	196	5758
33	197	5601
34	197	5450
35	198	5311
36	199	5179
37	199	5053
38	200	4934
39	200	4823
40	201	4717
41	202	4615
42	203	4518
43	203	4426
44	204	4335
45	204	4247
46	205	4163
47	205	4082
48	206	4003
49	206	3932
50	207	3864
51	208	3798
52	208	3732
53	209	3669
54	210	3609
55	210	3550
56	211	3493
57	211	3437
58	212	3384
59	212	3332
60	213	3281
61	213	3234
62	214	3188
63	215	3145
64	215	3104
65	216	3062
66	216	3020
67	217	2980
68	217	2940
69	218	2902
70	218	2864
71	219	2827
72	219	2792
73	220	2757
74	220	2724
75	221	2693
76	222	2663
77	222	2634
78	223	2607
79	224	2578
80	224	2550
81	225	2522
82	225	2492
83	226	2464
84	226	2438
85	227	2413
86	227	2387
87	228	2363
88	228	2341
89	229	2320
90	230	2298
91	230	2277
92	231	2256
93	231	2235
94	232	2215
95	233	2195
96	233	2174
97	234	2154
98	234	2134
99	235	2115
100	235	2097
101	236	2080
102	237	2064
103	237	2047
104	238	2031
105	238	2014
106	239	1997
107	239	1980
108	240	1964
109	240	1948
110	241	1933
111	241	1917
112	242	1902
113	243	1889
114	243	1876
115	244	1863
116	245	1849
117	245	1837
118	246	1824
119	247	1811
120	247	1798
121	248	1785
122	248	1772
123	249	1760
124	249	1748
125	250	1736
126	250	1725
127	251	1713
128	252	1703
129	252	1692
130	253	1681
131	254	1671
132	254	1660
133	255	1649
134	255	1638
135	256	1627
136	256	1617
137	257	1609
138	258	1600
139	259	1592
140	259	1583
141	260	1573
142	261	1564
143	261	1555
144	262	1545
145	262	1536
146	263	1526
147	263	1517
148	264	1508
149	264	1500
150	265	1492
151	266	1484
152	266	1476
153	267	1469
154	268	1461
155	268	1454
156	269	1446
157	270	1439
158	270	1432
159	271	1424
160	271	1416
161	272	1411
162	273	1403
163	274	1396
164	274	1389
165	275	1382
166	275	1376
167	276	1370
168	277	1363
169	277	1356
170	278	1349
171	278	1342
172	279	1337
173	280	1331
174	280	1324
175	281	1318
176	282	1311
177	282	1305
178	283	1298
179	283	1292
180	284	1286
181	284	1280
182	285	1273
183	285	1267
184	286	1261
185	287	1256
186	287	1251
187	288	1245
188	289	1240
189	289	1234
190	290	1228
191	290	1222
192	291	1217
193	291	1211
194	292	1205
195	292	1200
196	293	1194
197	293	1190
198	294	1185
199	295	1180
200	295	1175
201	296	1170
202	296	1166
203	297	1161
204	298	1156
205	298	1151
206	299	1146
207	299	1141
208	300	1136
209	300	1132
210	301	1127
211	302	1123
212	302	1119
213	303	1114
214	304	1110
215	304	1105
216	305	1101
217	305	1096
218	306	1091
219	306	1086
220	307	1082
221	307	1077
222	308	1073
223	308	1069
224	309	1065
225	309	1061
226	310	1057
227	311	1053
228	311	1049
229	312	1044
230	312	1040
231	313	1036
232	313	1032
233	314	1028
234	314	1024
235	315	1020
236	315	1016
237	316	1012
238	316	1009
239	317	1005
240	318	1002
241	318	998
242	319	994
243	319	990
244	320	987
245	320	983
246	321	979
247	321	975
248	322	971
249	322	968
250	323	964
251	324	961
252	324	958
253	325	955
254	325	952
255	326	949
256	327	945
257	327	942
258	328	939
259	328	935
260	329	932
261	329	929
262	330	925
263	331	922
264	331	919
265	332	916
266	332	913
267	333	910
268	333	907
269	334	904
270	334	900
271	335	897
272	335	894
273	336	890
274	336	887
275	337	884
276	338	883
277	339	880
278	339	878
279	340	875
280	341	872
281	341	869
282	342	867
283	342	864
284	343	861
285	343	858
286	344	855
287	344	852
288	345	849
289	346	847
290	346	844
291	347	842
292	347	839
293	348	836
294	348	833
295	349	831
296	349	828
297	350	825
298	350	822
299	351	820
300	352	817
301	352	815
302	353	813
303	354	811
304	355	809
305	355	806
306	356	804
307	357	802
308	357	799
309	358	796
310	358	794
311	358	791
312	359	789
313	360	786
314	360	784
315	361	782
316	362	780
317	362	777
318	363	775
319	363	773
320	364	770
321	364	768
322	365	766
323	366	764
324	366	762
325	367	760
326	368	758
327	369	756
328	369	754
329	370	752
330	371	750
331	371	747
332	372	745
333	372	743
334	373	741
335	373	738
336	374	736
337	375	734
338	375	732
339	376	730
340	376	728
341	377	726
342	377	723
343	378	721
344	378	719
345	379	717
346	380	715
347	380	712
348	381	710
349	381	708
350	382	706
351	382	705
352	383	703
353	384	700
354	384	698
355	385	696
356	385	694
357	386	692
358	386	690
359	387	688
360	387	686
361	388	684
362	388	682
363	389	680
364	390	678
365	390	676
366	391	675
367	391	673
368	392	671
369	393	669
370	393	667
371	394	665
372	394	663
373	395	661
374	395	659
375	396	657
376	396	655
377	397	654
378	398	652
379	398	650
380	399	648
381	399	647
382	400	645
383	400	643
384	401	641
385	401	639
386	402	637
387	402	635
388	403	633
389	404	632
390	404	630
391	405	628
392	405	627
393	406	625
394	407	623
395	407	621
396	408	619
397	408	618
398	409	616
399	409	614
400	410	612
401	410	610
402	411	609
403	411	607
404	412	606
405	413	604
406	413	602
407	414	601
408	414	599
409	415	597
410	415	595
411	416	594
412	416	592
413	417	590
414	417	588
415	418	587
416	419	585
417	419	584
418	420	583
419	421	581
420	421	579
421	422	578
422	422	576
423	423	574
424	423	573
425	424	571
426	424	569
427	425	568
428	425	566
429	426	565
430	427	563
431	427	562
432	428	560
433	429	559
434	429	558
435	430	556
436	430	554
437	431	553
438	431	551
439	431	549
440	432	548
441	433	546
442	433	545
443	434	544
444	435	542
445	435	541
446	436	539
447	436	538
448	437	536
449	437	535
450	438	533
451	438	532
452	439	530
453	439	528
454	440	527
455	440	526
456	441	524
457	442	523
458	443	522
459	443	520
460	444	519
461	444	517
462	445	516
463	445	514
464	446	513
465	446	511
466	446	510
467	447	508
468	448	507
469	448	506
470	449	504
471	450	503
472	450	502
473	451	500
474	451	499
475	452	497
476	452	496
477	453	495
478	453	493
479	454	492
480	454	490
481	455	489
482	456	488
483	456	486
484	457	485
485	458	484
486	458	483
487	459	482
488	459	480
489	460	479
490	461	477
491	461	476
492	462	475
493	462	474
494	463	472
495	464	471
496	464	470
497	465	469
498	465	467
499	466	466
500	466	464
501	467	463
502	467	462
503	468	460
504	468	459
505	469	458
506	469	456
507	470	455
508	471	454
509	471	453
510	472	452
511	472	450
512	473	449
513	474	448
514	474	447
515	475	445
516	475	444
517	476	443
518	477	442
519	477	441
520	478	439
521	479	438
522	479	437
523	480	436
524	480	435
525	481	433
526	481	432
527	482	431
528	482	429
529	483	428
530	483	427
531	484	425
532	484	424
533	485	423
534	486	422
535	486	421
536	487	420
537	487	418
538	488	417
539	489	416
540	489	415
541	490	414
542	491	413
543	491	412
544	492	411
545	493	409
546	493	408
547	494	407
548	495	406
549	495	405
550	496	404
551	496	403
552	497	402
553	498	400
554	498	399
555	499	398
556	499	397
557	500	396
558	501	395
559	501	394
560	502	393
561	503	392
562	503	391
563	504	389
564	505	388
565	505	387
566	506	386
567	506	385
568	507	384
569	508	383
570	508	382
571	509	381
572	510	380
573	510	379
574	511	378
575	512	377
576	512	375
577	513	374
578	514	373
579	514	372
580	516	372
581	517	371
582	517	370
583	518	369
584	518	368
585	519	366
586	519	365
587	520	364
588	521	363
589	521	362
590	522	361
591	523	360
592	523	359
593	524	358
594	524	357
595	525	355
596	525	354
597	526	353
598	526	352
599	527	351
600	527	350
601	528	349
602	529	348
603	529	347
604	530	346
605	531	345
606	531	344
607	532	343
608	532	342
609	533	340
610	533	339
611	534	338
612	534	337
613	535	336
614	536	335
615	536	334
616	537	333
617	538	332
618	538	331
619	539	330
620	539	329
621	540	328
622	540	327
623	541	326
624	541	325
625	542	324
626	543	323
627	543	322
628	544	321
629	545	320
630	545	319
631	546	318
632	546	316
633	547	315
634	547	314
635	548	313
636	548	312
637	549	311
638	549	310
639	550	309
640	551	308
641	551	307
642	552	306
643	552	305
644	553	304
645	554	303
646	554	302
647	555	301
648	555	300
649	555	299
650	556	298
651	557	297
652	557	296
653	558	295
654	558	294
655	559	293
656	560	292
657	560	291
658	561	290
659	561	289
660	562	288
661	562	287
662	563	286
663	563	285
664	564	284
665	564	283
666	565	282
667	565	281
668	566	280
669	567	279
670	567	278
671	568	277
672	568	276
673	569	275
674	569	274
675	570	273
676	570	272
677	571	271
678	572	270
679	572	269
680	573	268
681	574	267
682	574	266
683	575	265
684	576	264
685	576	263
686	577	262
687	577	261
688	578	260
689	578	259
690	579	258
691	579	258
692	580	257
693	580	256
694	581	255
695	582	254
696	582	253
697	583	252
698	583	251
699	584	250
700	585	249
701	585	248
702	586	247
703	586	246
704	587	245
705	587	244
706	588	243
707	589	243
708	589	242
709	590	241
710	590	240
711	591	239
712	592	238
713	592	237
714	593	236
715	593	235
716	594	234
717	594	233
718	595	232
719	596	231
720	596	230
721	597	230
722	598	229
723	598	228
724	599	227
725	599	226
726	600	225
727	600	224
728	601	223
729	601	222
730	602	221
731	603	220
732	603	219
733	604	218
734	604	218
735	605	217
736	605	216
737	606	215
738	607	214
739	607	213
740	607	212
741	608	211
742	609	210
743	609	209
744	610	209
745	611	208
746	611	207
747	612	206
748	612	205
749	613	204
750	613	203
751	614	202
752	614	201
753	615	200
754	616	199
755	616	199
756	617	198
757	618	197
758	618	196
759	619	195
760	619	194
761	620	193
762	620	192
763	621	191
764	621	190
765	622	190
766	622	189
767	623	188
768	624	187
769	624	186
770	625	185
771	626	184
772	626	184
773	627	183
774	627	182
775	628	181
776	628	180
777	629	179
778	629	178
779	629	177
780	630	176
781	631	175
782	631	175
783	632	174
784	633	173
785	633	172
786	634	171
787	634	170
788	635	169
789	635	168
790	636	168
791	636	167
792	637	166
793	637	165
794	638	164
795	639	163
796	640	163
797	640	162
798	641	161
799	641	160
800	642	159
801	643	158
802	643	157
803	644	157
804	644	156
805	645	155
806	646	154
807	646	153
808	647	152
809	647	151
810	648	151
811	649	150
812	649	149
813	650	148
814	651	147
815	651	146
